Date,open,high,low,close,adjclose,volume,growth_rate
2011-01-31,6.606400012969971,6.606400012969971,6.606400012969971,6.606400012969971,6.606400012969971,0.0,
2011-02-28,6.4619881686042335,6.4619881686042335,6.4619881686042335,6.4619881686042335,6.4619881686042335,0.0,-0.021859385456863282
2011-03-31,6.609139110731042,6.609139110731042,6.609139110731042,6.609139110731042,6.609139110731042,0.0,0.0227717752319241
2011-04-30,7.015129453995648,7.015129453995648,7.015129453995648,7.015129453995648,7.015129453995648,0.0,0.06142862730872361
2011-05-31,6.776721050864772,6.776721050864772,6.776721050864772,6.776721050864772,6.776721050864772,0.0,-0.033984890042917784
2011-06-30,5.9358523686726885,5.941566671643939,5.933947631290981,5.939185755593436,5.939185755593436,2287.0476190476193,-0.12359005025955125
2011-07-31,4.759571438743954,4.778619039626348,4.756714253198533,4.773857116699219,4.773857116699219,5602.380952380952,-0.19621016867450697
2011-08-31,4.187030429425447,4.198769579762998,4.172247865925664,4.181378323098888,4.181378323098888,10413.391304347826,-0.12410903366332586
2011-09-30,4.190047638756888,4.203857160749889,4.176238105410621,4.193857170286632,4.193857170286632,17070.666666666668,0.00298438606208116
2011-10-31,4.1623850107193,4.179885005950927,4.155884993076325,4.17288498878479,4.17288498878479,8090.5,-0.005000690450411566
2011-11-30,4.2564909133044155,4.272854544899681,4.237854534929449,4.254672711545771,4.254672711545771,4425.5,0.019599802769737728
2011-12-31,4.417050015926361,4.430050039291382,4.405050003528595,4.418050026893615,4.418050026893615,0.75,0.03839950248217507
2012-01-31,4.623938129061744,4.643461885906401,4.621080988929386,4.639652365729923,4.639652365729923,1534.2857142857142,0.0501584041573469
2012-02-29,4.752766654604957,4.76562381926037,4.744195211501348,4.756099996112642,4.756099996112642,1562.2857142857142,0.02509835246339614
2012-03-31,4.582240928303111,4.592240918766368,4.56269545988603,4.571786360307173,4.571786360307173,1084.0,-0.038753103584053386
2012-04-30,3.767894719776354,4.4615789212678605,4.230526296715987,4.4647368129931,4.4647368129931,166.6315789473684,-0.02341525584911203
2012-05-31,4.431440916928378,4.438259103081443,4.428713625127619,4.431440938602794,4.431440938602794,3173.5454545454545,-0.0074575223098054646
2012-06-30,4.3066666920979815,4.3219047500973655,4.295714310237339,4.304285707927885,4.304285707927885,3183.714285714286,-0.02869387913246112
2012-07-31,4.513936367901889,4.52348180250688,4.499845461411909,4.512572722001509,4.512572722001509,9704.136363636364,0.048390610709225984
2012-08-31,4.448004328686258,4.461917400360107,4.437134742736816,4.4523521713588545,4.4523521713588545,263.69565217391306,-0.013345059315951377
2012-09-30,4.3183900117874146,4.3278899669647215,4.309390020370484,4.320390009880066,4.320390009880066,9999.4,-0.029638751922562653
2012-10-31,4.4734782965286914,4.486521741618281,4.465217445207679,4.477826118469238,4.477826118469238,24670.521739130436,0.036440253826423054
2012-11-30,4.642272754149004,4.655454592271284,4.628636381842873,4.6377272605896,4.6377272605896,26358.68181818182,0.035709546974330514
2012-12-31,4.744117652668672,4.761764750761144,4.737058835871079,4.753529408398797,4.753529408398797,70221.05882352941,0.024969589909535825
2013-01-31,4.945000019940463,4.9649999791925605,4.92772726579146,4.9490908709439365,4.9490908709439365,80880.27272727272,0.04114026563075657
