,open,high,low,close,adjclose,volume,ticker
2011-01-28,6.616600036621094,6.616600036621094,6.616600036621094,6.616600036621094,6.616600036621094,0.0,CNY.PA
2011-01-31,6.596199989318848,6.596199989318848,6.596199989318848,6.596199989318848,6.596199989318848,0.0,CNY.PA
2011-02-01,6.603099822998047,6.603099822998047,6.603099822998047,6.603099822998047,6.603099822998047,0.0,CNY.PA
2011-02-02,,,,,,,CNY.PA
2011-02-03,,,,,,,CNY.PA
2011-02-04,,,,,,,CNY.PA
2011-02-07,6.5802998542785645,6.5802998542785645,6.5802998542785645,6.5802998542785645,6.5802998542785645,0.0,CNY.PA
2011-02-08,6.566699981689453,6.566699981689453,6.566699981689453,6.566699981689453,6.566699981689453,0.0,CNY.PA
2011-02-09,6.434299945831299,6.434299945831299,6.434299945831299,6.434299945831299,6.434299945831299,0.0,CNY.PA
2011-02-10,6.286200046539307,6.286200046539307,6.286200046539307,6.286200046539307,6.286200046539307,0.0,CNY.PA
2011-02-11,6.3302998542785645,6.3302998542785645,6.3302998542785645,6.3302998542785645,6.3302998542785645,0.0,CNY.PA
2011-02-14,6.483500003814697,6.483500003814697,6.483500003814697,6.483500003814697,6.483500003814697,0.0,CNY.PA
2011-02-15,6.432300090789795,6.432300090789795,6.432300090789795,6.432300090789795,6.432300090789795,0.0,CNY.PA
2011-02-16,6.493599891662598,6.493599891662598,6.493599891662598,6.493599891662598,6.493599891662598,0.0,CNY.PA
2011-02-17,6.536900043487549,6.536900043487549,6.536900043487549,6.536900043487549,6.536900043487549,0.0,CNY.PA
2011-02-18,6.615699768066406,6.615699768066406,6.615699768066406,6.615699768066406,6.615699768066406,0.0,CNY.PA
2011-02-21,6.584099769592285,6.584099769592285,6.584099769592285,6.584099769592285,6.584099769592285,0.0,CNY.PA
2011-02-22,6.426599979400635,6.426599979400635,6.426599979400635,6.426599979400635,6.426599979400635,0.0,CNY.PA
2011-02-23,6.364699840545654,6.364699840545654,6.364699840545654,6.364699840545654,6.364699840545654,0.0,CNY.PA
2011-02-24,6.267899990081787,6.267899990081787,6.267899990081787,6.267899990081787,6.267899990081787,0.0,CNY.PA
2011-02-25,6.370299816131592,6.370299816131592,6.370299816131592,6.370299816131592,6.370299816131592,0.0,CNY.PA
2011-02-28,6.47730016708374,6.47730016708374,6.47730016708374,6.47730016708374,6.47730016708374,0.0,CNY.PA
2011-03-01,6.572000026702881,6.572000026702881,6.572000026702881,6.572000026702881,6.572000026702881,0.0,CNY.PA
2011-03-02,6.520299911499023,6.520299911499023,6.520299911499023,6.520299911499023,6.520299911499023,0.0,CNY.PA
2011-03-03,6.575399875640869,6.575399875640869,6.575399875640869,6.575399875640869,6.575399875640869,0.0,CNY.PA
2011-03-04,6.676599979400635,6.676599979400635,6.676599979400635,6.676599979400635,6.676599979400635,0.0,CNY.PA
2011-03-07,6.660699844360352,6.660699844360352,6.660699844360352,6.660699844360352,6.660699844360352,0.0,CNY.PA
2011-03-08,6.72760009765625,6.72760009765625,6.72760009765625,6.72760009765625,6.72760009765625,0.0,CNY.PA
2011-03-09,6.767600059509277,6.767600059509277,6.767600059509277,6.767600059509277,6.767600059509277,0.0,CNY.PA
